title,director,country,date,,tr,trim_title,trim_director,trim_country,trim_date
Jaws 3,,Joe Alves,United States,10-8-2021,,Jaws 3,Joe Alves,United States,10-8-2021
Safe House,,Daniel Espinosa,United States,10-9-2021,,Safe House,Daniel Espinosa,United States,10-9-2021
Training Day,,Antoine Fuqua,United States,10-10-2021,,Training Day,Antoine Fuqua,United States,10-10-2021
Castle and Castle,,unknown,United States,10-11-2021,,Castle and Castle,Unknown,United States,10-11-2021
Dharmakshetra,,unknown,United States,10-12-2021,,Dharmakshetra,Unknown,United States,10-12-2021
InuYasha the Movie 2: The Castle Beyond the Looking Glass,,Toshiya Shinohara,United States,10-13-2021,,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,United States,10-13-2021
Nailed It,,unknown,United States,10-14-2021,,Nailed It,Unknown,United States,10-14-2021
Raja Rasoi Aur Anya Kahaniyan,,unknown,United States,10-15-2021,,Raja Rasoi Aur Anya Kahaniyan,Unknown,United States,10-15-2021
Schumacher,,"Hanns-Bruno KammertÃ¶ns, Vanessa NÃ¶cker, Michael Wech",United States,10-16-2021,,Schumacher,"Hanns-Bruno Kammertã¶Ns, Vanessa Nã¶Cker, Michael Wech",United States,10-16-2021
Too Hot To Handle: Latino,,unknown,United States,10-17-2021,,Too Hot To Handle: Latino,Unknown,United States,10-17-2021
Jack Whitehall: Travels with My Father,,unknown,United States,10-18-2021,,Jack Whitehall: Travels with My Father,Unknown,United States,10-18-2021
Yowamushi Pedal,,unknown,United States,10-19-2021,,Yowamushi Pedal,Unknown,United States,10-19-2021
Tughlaq Durbar,,Delhiprasad Deenadayalan,United States,10-20-2021,,Tughlaq Durbar,Delhiprasad Deenadayalan,United States,10-20-2021
Lucifer,,unknown,United States,10-21-2021,,Lucifer,Unknown,United States,10-21-2021
Omo Ghetto: the Saga,,"JJC Skillz, Funke Akindele",United States,10-22-2021,,Omo Ghetto: the Saga,"Jjc Skillz, Funke Akindele",United States,10-22-2021
PokÃ©mon Master Journeys: The Series,,unknown,United States,10-23-2021,,PokÃ©mon Master Journeys: The Series,Unknown,United States,10-23-2021
Prey,,Thomas Sieben,United States,10-24-2021,,Prey,Thomas Sieben,United States,10-24-2021
Titipo Titipo,,unknown,United States,10-25-2021,,Titipo Titipo,Unknown,United States,10-25-2021
Blood Brothers: Malcolm X & Muhammad Ali,,Marcus Clarke,United States,10-26-2021,,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,United States,10-26-2021
Paradise Hills,,Alice Waddington,United States,10-27-2021,,Paradise Hills,Alice Waddington,United States,10-27-2021
JJ+E,,Alexis AlmstrÃ¶m,United States,10-28-2021,,JJ+E,Alexis Almstrã¶M,United States,10-28-2021
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,,Stephen Kijak,United States,10-29-2021,,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,10-29-2021
Kid Cosmic,,unknown,United States,10-30-2021,,Kid Cosmic,Unknown,United States,10-30-2021
Octonauts: Above & Beyond,,unknown,United States,10-31-2021,,Octonauts: Above & Beyond,Unknown,United States,10-31-2021
Countdown: Inspiration4 Mission to Space,,Jason Hehir,United States,11-1-2021,,Countdown: Inspiration4 Mission to Space,Jason Hehir,United States,11-1-2021
A Champion Heart,,David de Vos,United States,11-2-2021,,A Champion Heart,David De Vos,United States,11-2-2021
Dive Club,,unknown,United States,11-3-2021,,Dive Club,Unknown,United States,11-3-2021
La casa de papel,,unknown,United States,11-4-2021,,La casa de papel,Unknown,United States,11-4-2021
Money Heist: From Tokyo to Berlin,,"Luis Alfaro, Javier GÃ³mez Santander",United States,11-5-2021,,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gã³Mez Santander",United States,11-5-2021
Worth,,Sara Colangelo,United States,11-6-2021,,Worth,Sara Colangelo,United States,11-6-2021
Afterlife of the Party,,Stephen Herek,United States,11-7-2021,,Afterlife of the Party,Stephen Herek,United States,11-7-2021
Bright Star,,Jane Campion,United States,11-8-2021,,Bright Star,Jane Campion,United States,11-8-2021
Dhanak,,Nagesh Kukunoor,United States,11-9-2021,,Dhanak,Nagesh Kukunoor,United States,11-9-2021
Q-Force,,unknown,United States,11-10-2021,,Q-Force,Unknown,United States,11-10-2021
Barbie Big City Big Dreams,,Scott Pleydell-Pearce,United States,11-11-2021,,Barbie Big City Big Dreams,Scott Pleydell-Pearce,United States,11-11-2021
Blade Runner: The Final Cut,,Ridley Scott,United States,11-12-2021,,Blade Runner: The Final Cut,Ridley Scott,United States,11-12-2021
Brave Animated Series,,unknown,United States,11-13-2021,,Brave Animated Series,Unknown,United States,11-13-2021
Chappie,,Neill Blomkamp,United States,11-14-2021,,Chappie,Neill Blomkamp,United States,11-14-2021
Crocodile Dundee in Los Angeles,,Simon Wincer,United States,11-15-2021,,Crocodile Dundee in Los Angeles,Simon Wincer,United States,11-15-2021
Do the Right Thing,,Spike Lee,United States,11-16-2021,,Do the Right Thing,Spike Lee,United States,11-16-2021
House Party,,Reginald Hudlin,United States,11-17-2021,,House Party,Reginald Hudlin,United States,11-17-2021
House Party 2,,"George Jackson, Doug McHenry",United States,11-18-2021,,House Party 2,"George Jackson, Doug Mchenry",United States,11-18-2021
House Party 3,,Eric Meza,United States,11-19-2021,,House Party 3,Eric Meza,United States,11-19-2021
HQ Barbers,,Gerhard Mostert,United States,11-20-2021,,HQ Barbers,Gerhard Mostert,United States,11-20-2021
Initial D,,"Andrew Lau Wai-keung, Alan Mak",United States,11-21-2021,,Initial D,"Andrew Lau Wai-Keung, Alan Mak",United States,11-21-2021
Kuroko's Basketball,,unknown,United States,11-22-2021,,Kuroko's Basketball,Unknown,United States,11-22-2021
Labyrinth,,Jim Henson,United States,11-23-2021,,Labyrinth,Jim Henson,United States,11-23-2021
Letters to Juliet,,Gary Winick,United States,11-24-2021,,Letters to Juliet,Gary Winick,United States,11-24-2021
Mars Attacks!,,Tim Burton,United States,11-25-2021,,Mars Attacks!,Tim Burton,United States,11-25-2021
Once Upon a Time in America,,Sergio Leone,United States,11-26-2021,,Once Upon a Time in America,Sergio Leone,United States,11-26-2021
Osmosis Jones,,"Bobby Farrelly, Peter Farrelly",United States,11-27-2021,,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,11-27-2021
Same Kind of Different as Me,,Michael Carney,United States,11-28-2021,,Same Kind of Different as Me,Michael Carney,United States,11-28-2021
Snervous Tyler Oakley,,Amy Rice,United States,11-29-2021,,Snervous Tyler Oakley,Amy Rice,United States,11-29-2021
The Guns of Navarone,,J. Lee Thompson,United States,11-30-2021,,The Guns of Navarone,J. Lee Thompson,United States,11-30-2021
Turning Point: 9/11 and the War on Terror,,unknown,United States,12-1-2021,,Turning Point: 9/11 and the War on Terror,Unknown,United States,12-1-2021
The Ingenuity of the Househusband,,unknown,United States,12-2-2021,,The Ingenuity of the Househusband,Unknown,United States,12-2-2021
Wind River,,Taylor Sheridan,United States,12-3-2021,,Wind River,Taylor Sheridan,United States,12-3-2021
C Kkompany,,Sachin Yardi,United States,12-4-2021,,C Kkompany,Sachin Yardi,United States,12-4-2021
Deadly Sins,,unknown,United States,12-5-2021,,Deadly Sins,Unknown,United States,12-5-2021
King of Boys: The Return of the King,,Kemi Adetiba,United States,12-6-2021,,King of Boys: The Return of the King,Kemi Adetiba,United States,12-6-2021
Krishna Cottage,,Santram Varma,United States,12-7-2021,,Krishna Cottage,Santram Varma,United States,12-7-2021
Kyo Kii... Main Jhuth Nahin Bolta,,David Dhawan,United States,12-8-2021,,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,United States,12-8-2021
Mission Istaanbul: Darr Ke Aagey Jeet Hai,,Apoorva Lakhia,United States,12-9-2021,,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,United States,12-9-2021
Once Upon a Time in Mumbaai,,Milan Luthria,United States,12-10-2021,,Once Upon a Time in Mumbaai,Milan Luthria,United States,12-10-2021
Ragini MMS,,Pawan Kripalani,United States,12-11-2021,,Ragini MMS,Pawan Kripalani,United States,12-11-2021
Titletown High,,unknown,United States,12-12-2021,,Titletown High,Unknown,United States,12-12-2021
Clickbait,,Brad Anderson,United States,12-13-2021,,Clickbait,Brad Anderson,United States,12-13-2021
Motel Makeover,,unknown,United States,12-14-2021,,Motel Makeover,Unknown,United States,12-14-2021
Post Mortem: No One Dies in Skarnes,,unknown,United States,12-15-2021,,Post Mortem: No One Dies in Skarnes,Unknown,United States,12-15-2021
Really Love,,Angel Kristi Williams,United States,12-16-2021,,Really Love,Angel Kristi Williams,United States,12-16-2021
The Old Ways,,Christopher Alender,United States,12-17-2021,,The Old Ways,Christopher Alender,United States,12-17-2021
Untold: Caitlyn Jenner,,Crystal Moselle,United States,12-18-2021,,Untold: Caitlyn Jenner,Crystal Moselle,United States,12-18-2021
Boomika,,Rathindran R Prasad,United States,12-19-2021,,Boomika,Rathindran R Prasad,United States,12-19-2021
The Witcher: Nightmare of the Wolf,,Han Kwang Il,United States,12-20-2021,,The Witcher: Nightmare of the Wolf,Han Kwang Il,United States,12-20-2021
Manifest,,unknown,United States,12-21-2021,,Manifest,Unknown,United States,12-21-2021
Everything Will Be Fine,,unknown,United States,12-22-2021,,Everything Will Be Fine,Unknown,United States,12-22-2021
The Loud House Movie,,Dave Needham,United States,12-23-2021,,The Loud House Movie,Dave Needham,United States,12-23-2021
Walk of Shame,,Steve Brill,United States,12-24-2021,,Walk of Shame,Steve Brill,United States,12-24-2021
Rascal Does Not Dream of Bunny Girl Senpai,,unknown,United States,12-25-2021,,Rascal Does Not Dream of Bunny Girl Senpai,Unknown,United States,12-25-2021
The Piano,,Jane Campion,United States,12-26-2021,,The Piano,Jane Campion,United States,12-26-2021
Valeria,,Inma Torrente,United States,12-27-2021,,Valeria,Inma Torrente,United States,12-27-2021
AlRawabi School for Girls,,unknown,United States,12-28-2021,,AlRawabi School for Girls,Unknown,United States,12-28-2021
Lokillo: Nothing's the Same,,JuliÃ¡n Gaviria,United States,12-29-2021,,Lokillo: Nothing's the Same,Juliã¡N Gaviria,United States,12-29-2021
Monster Hunter: Legends of the Guild,,Steven Yamamoto,United States,12-30-2021,,Monster Hunter: Legends of the Guild,Steven Yamamoto,United States,12-30-2021
The Crowned Clown,,unknown,United States,12-31-2021,,The Crowned Clown,Unknown,United States,12-31-2021
Takizawa Kabuki ZERO 2020 The Movie,,Hideaki Takizawa,United States,1-1-2022,,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,United States,1-1-2022
Hit & Run,,unknown,United States,1-2-2022,,Hit & Run,Unknown,United States,1-2-2022
The Swarm,,Just Philippot,United States,1-3-2022,,The Swarm,Just Philippot,United States,1-3-2022
Esperando la carroza,,Alejandro Doria,United States,1-4-2022,,Esperando la carroza,Alejandro Doria,United States,1-4-2022
Tango Feroz,,Marcelo PiÃ±eyro,United States,1-5-2022,,Tango Feroz,Marcelo Piã±Eyro,United States,1-5-2022
American Masters: Inventing David Geffen,,Susan Lacy,United States,1-6-2022,,American Masters: Inventing David Geffen,Susan Lacy,United States,1-6-2022
Cocaine Cowboys: The Kings of Miami,,Billy Corben,United States,1-7-2022,,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States,1-7-2022
Cloudy with a Chance of Meatballs,,"Phil Lord, Christopher Miller",United States,1-8-2022,,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",United States,1-8-2022
Darwinâ€™s Game,,unknown,United States,1-9-2022,,Darwinâ€™s Game,Unknown,United States,1-9-2022
Deep Blue Sea,,Renny Harlin,United States,1-10-2022,,Deep Blue Sea,Renny Harlin,United States,1-10-2022
Ferris Bueller's Day Off,,John Hughes,United States,1-11-2022,,Ferris Bueller's Day Off,John Hughes,United States,1-11-2022
Friday Night Lights,,unknown,United States,1-12-2022,,Friday Night Lights,Unknown,United States,1-12-2022
Inception,,Christopher Nolan,United States,1-13-2022,,Inception,Christopher Nolan,United States,1-13-2022
My Girl 2,,Howard Zieff,United States,1-14-2022,,My Girl 2,Howard Zieff,United States,1-14-2022
Seabiscuit,,Gary Ross,United States,1-15-2022,,Seabiscuit,Gary Ross,United States,1-15-2022
Space Cowboys,,Clint Eastwood,United States,1-16-2022,,Space Cowboys,Clint Eastwood,United States,1-16-2022
Team America: World Police,,Trey Parker,United States,1-17-2022,,Team America: World Police,Trey Parker,United States,1-17-2022
The Machinist,,Brad Anderson,United States,1-18-2022,,The Machinist,Brad Anderson,United States,1-18-2022
Charmed,,unknown,United States,1-19-2022,,Charmed,Unknown,United States,1-19-2022
The Vault,,Jaume BalaguerÃ³,United States,1-20-2022,,The Vault,Jaume Balaguerã³,United States,1-20-2022
Glow Up,,unknown,United States,1-21-2022,,Glow Up,Unknown,United States,1-21-2022
Outer Banks,,unknown,United States,1-22-2022,,Outer Banks,Unknown,United States,1-22-2022
Transformers: War for Cybertron: Kingdom,,unknown,United States,1-23-2022,,Transformers: War for Cybertron: Kingdom,Unknown,United States,1-23-2022
The Flash,,Glen Winter,United States,1-24-2022,,The Flash,Glen Winter,United States,1-24-2022
How to Sell Drugs Online (Fast),,unknown,United States,1-25-2022,,How to Sell Drugs Online (Fast),Unknown,United States,1-25-2022
Plastic Cup Boyz: Laughing My Mask Off!,,"Royale Watkins, Rich Schlansker",United States,1-26-2022,,Plastic Cup Boyz: Laughing My Mask Off!,"Royale Watkins, Rich Schlansker",United States,1-26-2022
The Walking Dead,,unknown,United States,1-27-2022,,The Walking Dead,Unknown,United States,1-27-2022
A Second Chance:  Rivals!,,Clay Glen,United States,1-28-2022,,A Second Chance: Rivals!,Clay Glen,United States,1-28-2022
Masters of the Universe: Revelation,,unknown,United States,1-29-2022,,Masters of the Universe: Revelation,Unknown,United States,1-29-2022
Revelations: The Masters of the Universe: Revelation Aftershow,,unknown,United States,1-30-2022,,Revelations: The Masters of the Universe: Revelation Aftershow,Unknown,United States,1-30-2022
Chicago Med,,unknown,United States,1-31-2022,,Chicago Med,Unknown,United States,1-31-2022
Words Bubble Up Like Soda Pop,,Kyohei Ishiguro,United States,2-1-2022,,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,United States,2-1-2022
Okupas,,unknown,United States,2-2-2022,,Okupas,Unknown,United States,2-2-2022
Touch Your Heart,,unknown,United States,2-3-2022,,Touch Your Heart,Unknown,United States,2-3-2022
Fear Street Part 3: 1666,,Leigh Janiak,United States,2-4-2022,,Fear Street Part 3: 1666,Leigh Janiak,United States,2-4-2022
Twilight,,Catherine Hardwicke,United States,2-5-2022,,Twilight,Catherine Hardwicke,United States,2-5-2022
Emicida: AmarElo - Live in SÃ£o Paulo,,Fred Ouro Preto,United States,2-6-2022,,Emicida: AmarElo - Live in SÃ£o Paulo,Fred Ouro Preto,United States,2-6-2022
Never Have I Ever,,unknown,United States,2-7-2022,,Never Have I Ever,Unknown,United States,2-7-2022
Surf's Up,,"Ash Brannon, Chris Buck",United States,2-8-2022,,Surf's Up,"Ash Brannon, Chris Buck",United States,2-8-2022
Day of Destiny,,"Akay Mason, Abosi Ogba",United States,2-9-2022,,Day of Destiny,"Akay Mason, Abosi Ogba",United States,2-9-2022
The Tour,,Juraj Å ajmoviÄ,United States,2-10-2022,,The Tour,Juraj Å Ajmoviä,United States,2-10-2022
Virgin River,,unknown,United States,2-11-2022,,Virgin River,Unknown,United States,2-11-2022
RESIDENT EVIL: Infinite Darkness,,unknown,United States,2-12-2022,,RESIDENT EVIL: Infinite Darkness,Unknown,United States,2-12-2022
This Little Love Of Mine,,Christine Luby,United States,2-13-2022,,This Little Love Of Mine,Christine Luby,United States,2-13-2022
Colony,,unknown,United States,2-14-2022,,Colony,Unknown,United States,2-14-2022
Larva,,unknown,United States,2-15-2022,,Larva,Unknown,United States,2-15-2022
Marcella,,unknown,United States,2-16-2022,,Marcella,Unknown,United States,2-16-2022
Scream,,unknown,United States,2-17-2022,,Scream,Unknown,United States,2-17-2022
Tales by Light,,unknown,United States,2-18-2022,,Tales by Light,Unknown,United States,2-18-2022
The A List,,unknown,United States,2-19-2022,,The A List,Unknown,United States,2-19-2022
The New Legends of Monkey,,unknown,United States,2-20-2022,,The New Legends of Monkey,Unknown,United States,2-20-2022
Haseen Dillruba,,Vinil Mathew,United States,2-21-2022,,Haseen Dillruba,Vinil Mathew,United States,2-21-2022
Snowpiercer,,Bong Joon Ho,United States,2-22-2022,,Snowpiercer,Bong Joon Ho,United States,2-22-2022
Austin Powers: The Spy Who Shagged Me,,Jay Roach,United States,2-23-2022,,Austin Powers: The Spy Who Shagged Me,Jay Roach,United States,2-23-2022
Bureau of Magical Things,,unknown,United States,2-24-2022,,Bureau of Magical Things,Unknown,United States,2-24-2022
Congo,,Frank Marshall,United States,2-25-2022,,Congo,Frank Marshall,United States,2-25-2022
Mary Magdalene,,Garth Davis,United States,2-26-2022,,Mary Magdalene,Garth Davis,United States,2-26-2022
Midnight Run,,Martin Brest,United States,2-27-2022,,Midnight Run,Martin Brest,United States,2-27-2022
Talladega Nights: The Ballad of Ricky Bobby,,Adam McKay,United States,2-28-2022,,Talladega Nights: The Ballad of Ricky Bobby,Adam Mckay,United States,2-28-2022
The Karate Kid,,John G. Avildsen,United States,3-1-2022,,The Karate Kid,John G. Avildsen,United States,3-1-2022
The Karate Kid Part II,,John G. Avildsen,United States,3-2-2022,,The Karate Kid Part II,John G. Avildsen,United States,3-2-2022
The Strangers,,Bryan Bertino,United States,3-3-2022,,The Strangers,Bryan Bertino,United States,3-3-2022
The Tourist,,Florian Henckel von Donnersmarck,United States,3-4-2022,,The Tourist,Florian Henckel Von Donnersmarck,United States,3-4-2022
What Dreams May Come,,Vincent Ward,United States,3-5-2022,,What Dreams May Come,Vincent Ward,United States,3-5-2022
Why Do Fools Fall in Love,,Gregory Nava,United States,3-6-2022,,Why Do Fools Fall in Love,Gregory Nava,United States,3-6-2022
LegendÂ ofÂ Exorcism,,Shen Leping,United States,3-7-2022,,LegendÂ ofÂ Exorcism,Shen Leping,United States,3-7-2022
Too Hot to Handle,,unknown,United States,3-8-2022,,Too Hot to Handle,Unknown,United States,3-8-2022
Love Is a Story,,Cristina Jacob,United States,3-9-2022,,Love Is a Story,Cristina Jacob,United States,3-9-2022
The Mole,,unknown,United States,3-10-2022,,The Mole,Unknown,United States,3-10-2022
Hap and Leonard,,unknown,United States,3-11-2022,,Hap and Leonard,Unknown,United States,3-11-2022
No Time for Shame,,unknown,United States,3-12-2022,,No Time for Shame,Unknown,United States,3-12-2022
The Assassination of Gianni Versace,,unknown,United States,3-13-2022,,The Assassination of Gianni Versace,Unknown,United States,3-13-2022
They've Gotta Have Us,,Simon Frederick,United States,3-14-2022,,They've Gotta Have Us,Simon Frederick,United States,3-14-2022
Hospital Playlist,,unknown,United States,3-15-2022,,Hospital Playlist,Unknown,United States,3-15-2022
Mobile Suit Gundam I,,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",United States,3-16-2022,,Mobile Suit Gundam I,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",United States,3-16-2022
Black Summer,,unknown,United States,3-17-2022,,Black Summer,Unknown,United States,3-17-2022
Beyond Evil,,unknown,United States,3-18-2022,,Beyond Evil,Unknown,United States,3-18-2022
Trese,,Jay Oliva,United States,3-19-2022,,Trese,Jay Oliva,United States,3-19-2022
Trese After Dark,,unknown,United States,3-20-2022,,Trese After Dark,Unknown,United States,3-20-2022
A Haunted House 2,,Michael Tiddes,United States,3-21-2022,,A Haunted House 2,Michael Tiddes,United States,3-21-2022
Locombianos,,unknown,United States,3-22-2022,,Locombianos,Unknown,United States,3-22-2022
Kitty Love: An Homage to Cats,,unknown,United States,3-23-2022,,Kitty Love: An Homage to Cats,Unknown,United States,3-23-2022
Feel Good,,Ally Pankiw,United States,3-24-2022,,Feel Good,Ally Pankiw,United States,3-24-2022
2 Hearts,,Lance Hool,United States,3-25-2022,,2 Hearts,Lance Hool,United States,3-25-2022
A Perfect Ending,,Nicole Conn,United States,3-26-2022,,A Perfect Ending,Nicole Conn,United States,3-26-2022
And Then Came Lola,,"Ellen Seidler, Megan Siler",United States,3-27-2022,,And Then Came Lola,"Ellen Seidler, Megan Siler",United States,3-27-2022
Battlefield Earth,,Roger Christian,United States,3-28-2022,,Battlefield Earth,Roger Christian,United States,3-28-2022
Hostel: Part III,,Scott Spiegel,United States,3-29-2022,,Hostel: Part III,Scott Spiegel,United States,3-29-2022
Never Back Down 2: The Beatdown,,Michael Jai White,United States,3-30-2022,,Never Back Down 2: The Beatdown,Michael Jai White,United States,3-30-2022
Ouran High School Host Club,,Takuya Igarashi,United States,3-31-2022,,Ouran High School Host Club,Takuya Igarashi,United States,3-31-2022
The Girl King,,Mika KaurismÃ¤ki,United States,4-1-2022,,The Girl King,Mika Kaurismã¤Ki,United States,4-1-2022
The Wedding Guest,,Michael Winterbottom,United States,4-2-2022,,The Wedding Guest,Michael Winterbottom,United States,4-2-2022
Blue Miracle,,Julio Quintana,United States,4-3-2022,,Blue Miracle,Julio Quintana,United States,4-3-2022
Baggio: The Divine Ponytail,,Letizia Lamartire,United States,4-4-2022,,Baggio: The Divine Ponytail,Letizia Lamartire,United States,4-4-2022
Army of the Dead,,Zack Snyder,United States,4-5-2022,,Army of the Dead,Zack Snyder,United States,4-5-2022
Hating Peter Tatchell,,Christopher Amos,United States,4-6-2022,,Hating Peter Tatchell,Christopher Amos,United States,4-6-2022
Sleight,,J.D. Dillard,United States,4-7-2022,,Sleight,J.D. Dillard,United States,4-7-2022
Cinema Bandi,,Praveen Kandregula,United States,4-8-2022,,Cinema Bandi,Praveen Kandregula,United States,4-8-2022
Haunted,,unknown,United States,4-9-2022,,Haunted,Unknown,United States,4-9-2022
"Love, Death & Robots",,unknown,United States,4-10-2022,,"Love, Death & Robots",Unknown,United States,4-10-2022
The Mystic River,,Uzodinma Okpechi,United States,4-11-2022,,The Mystic River,Uzodinma Okpechi,United States,4-11-2022
Layer Cake,,Matthew Vaughn,United States,4-12-2022,,Layer Cake,Matthew Vaughn,United States,4-12-2022
Deadly Switch,,Svetlana Cvetko,United States,4-13-2022,,Deadly Switch,Svetlana Cvetko,United States,4-13-2022
Framing John DeLorean,,"Don Argott, Sheena M. Joyce",United States,4-14-2022,,Framing John DeLorean,"Don Argott, Sheena M. Joyce",United States,4-14-2022
Best of the Best,,Robert Radler,United States,4-15-2022,,Best of the Best,Robert Radler,United States,4-15-2022
The Lovely Bones,,Peter Jackson,United States,4-16-2022,,The Lovely Bones,Peter Jackson,United States,4-16-2022
Zack and Miri Make a Porno,,Kevin Smith,United States,4-17-2022,,Zack and Miri Make a Porno,Kevin Smith,United States,4-17-2022
Crimson Peak,,Guillermo del Toro,United States,4-18-2022,,Crimson Peak,Guillermo Del Toro,United States,4-18-2022
Love Naggers,,unknown,United States,4-19-2022,,Love Naggers,Unknown,United States,4-19-2022
GANTZ:O,,"Keiichi Sato, Yasushi Kawamura",United States,4-20-2022,,GANTZ:O,"Keiichi Sato, Yasushi Kawamura",United States,4-20-2022
Zoot Suit,,Luis Valdez,United States,4-21-2022,,Zoot Suit,Luis Valdez,United States,4-21-2022
House of Cards,,unknown,United States,4-22-2022,,House of Cards,Unknown,United States,4-22-2022
Signal,,unknown,United States,4-23-2022,,Signal,Unknown,United States,4-23-2022
Slasher,,unknown,United States,4-24-2022,,Slasher,Unknown,United States,4-24-2022
Roohi,,Hardik Mehta,United States,4-25-2022,,Roohi,Hardik Mehta,United States,4-25-2022
